,Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Continuous or Alternating Legs ,Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
,Double Dumbbell Seated Bicep Curl,Video Demonstration,Video Explanation,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,Bench (Flat),1,Seated,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
,Double Dumbbell Incline Bench Zottman Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachioradialis,Brachialis,Dumbbell,2,Bench (Incline),1,Seated,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
,Alternating Double Dumbbell Incline Bench Zottman Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachioradialis,Brachialis,Dumbbell,2,Bench (Incline),1,Seated,Double Arm,Alternating,Supinated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
,Alternating Double Dumbbell Seated Overhead Press,Video Demonstration,,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,2,Bench (Flat),1,Seated,Double Arm,Alternating,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
,Double Kettlebell Floor Press,Video Demonstration,Video Explanation,Beginner,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Kettlebell,2,None,0,Supine,Double Arm,Continuous,Pronated,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
,Single Arm Kettlebell Floor Press,Video Demonstration,Video Explanation,Beginner,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Kettlebell,1,None,0,Supine,Single Arm,Continuous,Pronated,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
,Alternating Double Kettlebell Floor Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Kettlebell,2,None,0,Supine,Double Arm,Alternating,Pronated,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
,Single Arm Dumbbell Front Rack Ipsilateral Cossack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
,Single Arm Dumbbell Overhead Alternating Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Dumbbell Crush Grip Seated Overhead Tricep Extension,Video Demonstration,,Beginner,Triceps,Triceps Brachii ,Anterior Deltoids,Rectus Abdominis,Dumbbell,1,Bench (Flat),1,Seated,Double Arm,Continuous,Crush Grip,Overhead,Continuous,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
,Alternating Double Kettlebell Bent Over Row,Video Demonstration,,Beginner,Back,Latissimus Dorsi,Rhomboids,Posterior Deltoids,Kettlebell,2,None,0,Standing,Double Arm,Alternating,Neutral,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
,Battle Rope Double Wave,Video Demonstration,Video Explanation,Beginner,Biceps,Biceps Brachii,,,Battle Ropes,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Upper Body,Other,Compound,Bilateral,Unsorted*
,Double Dumbbell Front Raise,Video Demonstration,,Beginner,Shoulders,Anterior Deltoids,Pectoralis Major,Biceps Brachii,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Shoulder Flexion,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
,Double Dumbbell Incline Bench Prone Lateral Raise,Video Demonstration,,Beginner,Shoulders,Posterior Deltoids,,,Dumbbell,2,Bench (Incline),1,Prone,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Shoulder Abduction,,,Frontal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
,Dumbbell Crush Grip Seated Bicep Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,1,Bench (Flat),1,Seated,Double Arm,Continuous,Crush Grip,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
,Double Dumbbell Incline Bench Prone Hammer Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,Bench (Incline),1,Prone,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
,Single Arm Dumbbell Overhead Low Switch Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Dumbbell Goblet Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,None,0,Standing,Double Arm,Continuous,Goblet,Front Rack,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Single Arm Clubbell Order Ipsilateral Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Order,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
,Single Arm Clubbell Order Foot Elevated Ipsilateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Order,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
,Single Arm Macebell Order Ipsilateral Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Macebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Order,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
,Single Arm Macebell Order Foot Elevated Ipsilateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Macebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Order,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
,Single Arm Dummbell Front Rack Foot Elevated Contralateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
,Single Arm Dumbbell Front Rack Foot Elevated Ipsilateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
,Alternating Double Dumbbell Incline Bench Prone Hammer Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,Bench (Incline),1,Prone,Double Arm,Alternating,Neutral,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
,Single Arm Dumbbell Incline Bench Press,Video Demonstration,Video Explanation,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell,1,Bench (Incline),1,Supine,Single Arm,Continuous,Pronated,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
,Single Arm Dumbbell Decline Bench Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell,1,Bench (Decline),1,Supine,Single Arm,Continuous,Pronated,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
,Single Arm Kettlebell Bottoms Up Copenhagen Plank,Video Demonstration,Video Explanation,Intermediate,Adductors,Adductor Magnus,,,Kettlebell,1,Bench (Flat),1,Side Plank,Single Arm,Continuous,Bottoms Up,Other,Continuous,Foot Elevated (Side),Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Unsorted*
,Double Dumbbell Floor Press,Video Demonstration,Video Explanation,Beginner,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Dumbbell,2,None,0,Supine,Double Arm,Continuous,Pronated,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
,Double Kettlebell Bottoms Up Glute Bridge Isometric Bench Press,,,Intermediate,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,2,Bench (Flat),1,Bridge,Double Arm,Continuous,Bottoms Up,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,Isometric Hold,,Sagittal Plane,,,Full Body,Push,Compound,Bilateral,Bodybuilding
,Alternating Double Dumbbell Floor Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Dumbbell,2,None,0,Supine,Double Arm,Alternating,Pronated,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
,Kettlebell Seated Single Leg Tibialis Raise,Video Demonstration,,Novice,Shins,Tibialis Anterior,Extensor Digitorum Longus,Extensor Hallucis Longus,Kettlebell,1,Bench (Flat),1,Seated,No Arms,Continuous,No Grip,Other,Continuous,No Elevation,Single Exercise,Ankle Dorsiflexion,,,Sagittal Plane,,,Lower Body,Unsorted*,Isolation,Unilateral,Unsorted*
,Double Kettlebell Seated Calf Raise,,Video Explanation,Beginner,Calves,Soleus,Gastrocnemius,Tibialis Posterior,Kettlebell,2,Bench (Flat),1,Seated,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Ankle Plantar Flexion,,,Sagittal Plane,,,Lower Body,Push,Isolation,Bilateral,Bodybuilding
,Double Kettlebell Seated Feet Elevated Calf Raise,Video Demonstration,Video Explanation,Beginner,Calves,Soleus,Gastrocnemius,Tibialis Posterior,Kettlebell,2,Bench (Flat),1,Seated,Double Arm,Continuous,Neutral,Other,Continuous,Toes Elevated,Single Exercise,Ankle Plantar Flexion,,,Sagittal Plane,,,Lower Body,Push,Isolation,Bilateral,Bodybuilding
,Alternating Double Dumbbell Thruster,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Anterior Deltoids,,Dumbbell,2,None,0,Standing,Double Arm,Alternating,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,Vertical Push,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
,Single Arm Dumbbell Floor Press,Video Demonstration,Video Explanation,Beginner,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Dumbbell,1,None,0,Supine,Single Arm,Continuous,Pronated,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
,Single Arm Macebell Inside Circle,,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Macebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Transverse Plane,,,Full Body,Other,Compound,Unilateral,Ballistics
,Single Arm Macebell Outside Circle,,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Macebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Transverse Plane,,,Full Body,Other,Compound,Unilateral,Ballistics
,Single Arm Macebell Inside Circle to Outside Circle,,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Macebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Other,Continuous,No Elevation,Combo Exercise,Knee Dominant,,,Transverse Plane,,,Full Body,Other,Compound,Unilateral,Ballistics
,Macebell Inside Circle,,,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Macebell,1,None,0,Standing,Double Arm,Continuous,Neutral,Order,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Ballistics
,Macebell Outside Circle,,,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Macebell,1,None,0,Standing,Double Arm,Continuous,Neutral,Order,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Ballistics
,Macebell Inside Circle to Outside Circle,,,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Macebell,1,None,0,Standing,Double Arm,Continuous,Neutral,Order,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Ballistics
,Battle Rope Clap,Video Demonstration,Video Explanation,Beginner,Shoulders,Lateral Deltoids,Biceps Brachii,Rectus Abdominis,Battle Ropes,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Shoulder Abduction,,,Sagittal Plane,,,Upper Body,Other,Compound,Bilateral,Unsorted*
,Battle Rope Inward Circle,Video Demonstration,Video Explanation,Beginner,Shoulders,Anterior Deltoids,Biceps Brachii,,Battle Ropes,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,Frontal Plane,,Upper Body,Other,Compound,Bilateral,Unsorted*
,Battle Rope Outward Circle,Video Demonstration,,Beginner,Shoulders,Anterior Deltoids,Biceps Brachii,,Battle Ropes,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,Frontal Plane,,Upper Body,Other,Compound,Bilateral,Unsorted*
,Double Kettlebell Tall Kneeling Shrug,,,Beginner,Trapezius,Upper Trapezius,Levator Scapulae,Rhomboids,Kettlebell,2,None,0,Tall Kneeling,Double Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Scapular Elevation,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
,Alternating Double Dumbbell Bent Over Row,Video Demonstration,,Beginner,Back,Latissimus Dorsi,Rhomboids,Posterior Deltoids,Dumbbell,2,None,0,Standing,Double Arm,Alternating,Neutral,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
,Battle Rope Alternating Cossack Squat Alternating Wave,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Biceps Brachii,Battle Ropes,1,None,0,Standing,Double Arm,Alternating,Neutral,Other,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*
,Bodyweight Low Switch Cossack Squat,Video Demonstration,,Beginner,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Bodyweight,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Barbell Zercher Alternating Cossack Squat,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1,None,0,Standing,Double Arm,Continuous,No Grip,Zercher,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Barbell Zercher Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1,None,0,Standing,Double Arm,Continuous,No Grip,Zercher,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Barbell Zercher Low Switch Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1,None,0,Standing,Double Arm,Continuous,No Grip,Zercher,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Barbell Zercher Foot Elevated Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1,None,0,Standing,Double Arm,Continuous,No Grip,Zercher,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Barbell Zombie Squat,Video Demonstration,Video Explanation,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Standing,Double Arm,Continuous,No Grip,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
,Barbell Zombie Split Squat,,Video Explanation,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,1,None,0,Split Squat,Double Arm,Continuous,No Grip,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Heavy Sandbag Bear Hug Cossack Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Heavy Sandbag,1,None,0,Standing,Double Arm,Continuous,Neutral,Bear Hug,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Unsorted*
,Heavy Sandbag Bear Hug Alternating Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Heavy Sandbag,1,None,0,Standing,Double Arm,Continuous,Neutral,Bear Hug,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Unsorted*
,Heavy Sandbag Shoulder Contralateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Heavy Sandbag,1,None,0,Standing,Double Arm,Continuous,Neutral,Shoulder,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Unsorted*
,Heavy Sandbag Shoulder Alternating Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Heavy Sandbag,1,None,0,Standing,Double Arm,Continuous,Neutral,Shoulder,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Unsorted*
,Heavy Sandbag Shoulder Ipsilateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Heavy Sandbag,1,None,0,Standing,Double Arm,Continuous,Neutral,Shoulder,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Unsorted*
,Barbell Zombie Cyclist Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Soleus,Barbell,1,Slant Board,1,Standing,Double Arm,Continuous,No Grip,Front Rack,Continuous,Heels Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
,Single Arm Suspension Foot Elevated Ipsilateral Cossack Squat,,,Beginner,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Suspension Trainer,1,None,0,Standing,Single Arm,Continuous,Neutral,No Load,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
,Single Arm Suspension Ipsilateral Cossack Squat,Video Demonstration,,Beginner,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Suspension Trainer,1,None,0,Standing,Single Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
,Battle Rope Low Switch Cossack Squat Alternating Wave,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Biceps Brachii,Battle Ropes,1,None,0,Standing,Double Arm,Alternating,Neutral,Other,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*
